"sp","x","y"
"dictyophylla",-65.2333,-17.3542
"dictyophylla",-65.49319,-17.0931
"dictyophylla",-65.4875,-17.086111
"dictyophylla",-65.43,-17.03
"dictyophylla",-65.434167,-16.993889
"dictyophylla",-64.435,-16.7261
"dictyophylla",-68.457222,-15.036667
"dictyophylla",-64.892222,-14.812222
"dictyophylla",-70.411944,-13.473889
"dictyophylla",-70.77416,-13.28861
"dictyophylla",-70.7742,-13.2886
"dictyophylla",-70.7737,-13.2606
"dictyophylla",-71.2,-12.91666
"dictyophylla",-72.3736,-12.8981
"dictyophylla",-72.37361,-12.89805
"dictyophylla",-69.28333,-12.83333
"dictyophylla",-69.33333,-12.83333
"dictyophylla",-69.28,-12.83
"dictyophylla",-73.2625,-12.68333
"dictyophylla",-73.2703,-12.6631
"dictyophylla",-72.574389,-12.162167
"dictyophylla",-70.25,-12
"dictyophylla",-72.7775,-11.932
"dictyophylla",-72.6517,-11.8825
"dictyophylla",-72.6992,-11.7856
"dictyophylla",-68.88,-11.12
"dictyophylla",-74.383333,-10.75
"dictyophylla",-75.071944,-10.539722
"dictyophylla",-75.0669,-10.5042
"dictyophylla",-75.06694,-10.50416
"dictyophylla",-75.25,-10.5
"dictyophylla",-75.259444,-10.3475
"dictyophylla",-59.35,-10.2
"dictyophylla",-75.56666,-10.18333
"dictyophylla",-75.57,-10.18
"dictyophylla",-75.41666,-9.66666
"dictyophylla",-74.966667,-9.516667
"dictyophylla",-75.8333,-9.5
"dictyophylla",-55.83,-9.46
"dictyophylla",-74.14,-9.1839
"dictyophylla",-75.566667,-9.083333
"dictyophylla",-75.67361,-9.07694
"dictyophylla",-74.61666,-9.03333
"dictyophylla",-67.750833,-8.555556
"dictyophylla",-71.4636,-8.5139
"dictyophylla",-71.463611,-8.513889
"dictyophylla",-76.095278,-8.491389
"dictyophylla",-53.949444,-0.845278
"dictyophylla",-53.936528,-0.836167
"dictyophylla",-53.929722,-0.820333
"dictyophylla",-53.928417,-0.811833
"dictyophylla",-53.956278,-0.808056
"dictyophylla",-76.383333,-8
"dictyophylla",-76.590555,-7.935833
"dictyophylla",-71.662222,-7.893333
"dictyophylla",-76.66666,-7.68333
"dictyophylla",-73.67,-7.5
"dictyophylla",-73.666667,-7.5
"dictyophylla",-73.65,-7.483333
"dictyophylla",-73.65,-7.48
